hgnc_symbol	chromosome_name	start_position	end_position
CSNK1G2	19	1941146	1981339
CSNK2A1	20	472498	543835
CSPG4	15	75674322	75712848
CSRP3	11	19176519	19210571
CST1	20	23747562	23751268
CST3	20	23626706	23638556
CST5	20	23875934	23880081
CST6	11	66012008	66013505
CST7	20	24949269	24959928
CSTB	21	43772511	43776579
CTBS	1	84549611	84574480
CTF1	16	30896614	30903547
CTHRC1	8	103371538	103382990
CTRB1	HSCHR16_5_CTG3_1	52018	55075
CTRB1	16	75218988	75226338
CTRC	1	15438442	15449242
CTRL	16	67927640	67932365
CTSA	20	45890144	45898949
CTSB	HG76_PATCH	1478526	1505569
CTSB	8	11842524	11869533
CTSC	11	88265069	88359684
CTSD	11	1752752	1764573
CTSE	1	206008535	206023909
CTSF	11	66563463	66568879
CTSH	15	78921058	78949574
CTSL	9	87724051	87731469
CTSO	HSCHR4_1_CTG12	88741	118534
CTSO	4	155921580	155953912
CTSS	1	150730079	150765957
CTSV	9	97025073	97156556
CTSZ	20	58985686	59008238
CUZD1	10	122832158	122846175
CWC15	11	94962620	94973611
CX3CL1	16	57372477	57385044
CXADR	21	17512971	17593579
CXCL1	4	73869392	73871308
CXCL10	4	76021118	76023497
CXCL11	4	76033682	76041415
CXCL12	10	44370165	44386493
CXCL13	4	77511753	77611834
CXCL16	17	4733533	4739934
CXCL17	19	42428278	42442996
CXCL3	4	74036589	74038807
CXCL5	4	73995642	73998677
CXCL6	4	73836640	73849064
CXCL8	4	73740519	73747379
CXCL9	4	76001275	76007509
CYB5R2	11	7665097	7677222
CYTH3	7	6161776	6272650
CYTL1	4	5014586	5019486
DAAM1	14	59188646	59371405
DAB2	5	39371675	39462300
DAG1	3	49468649	49535619
DAPK2	15	63907036	64072033
DAPP1	4	99816816	99870190
DARS1	2	135905881	135986100
DBH	9	133636314	133659329
DBI	2	119366917	119372551
DBN1	5	177456607	177474401
DBNL	7	44044628	44069456
DCBLD2	3	98795941	98901729
DCN	12	91140484	91183217
DCTD	4	182890060	182917936
DCTN1	2	74361154	74392087
DCTN2	12	57529633	57547242
DCTN6	8	30156319	30183639
DCTPP1	16	30423615	30430030
DCUN1D1	3	182938074	182985953
DCXR	17	82035136	82037776
DDAH1	1	85318481	85578363
DDC	7	50458436	50565468
DDHD2	8	38225218	38275558
DDI2	1	15617458	15669044
DDR1	HSCHR6_MHC_APD_CTG1	2214729	2218933
DDR1	HSCHR6_MHC_DBB_CTG1	2137270	2156466
DDR1	HSCHR6_MHC_COX_CTG1	2360744	2379927
DDR1	HSCHR6_MHC_MCF_CTG1	2225124	2236239
DDR1	HSCHR6_MHC_MANN_CTG1	2191217	2210394
DDR1	HSCHR6_MHC_QBL_CTG1	2136143	2155326
DDR1	6	30876421	30900978
DDT	HSCHR22_1_CTG7	207729	216835
DDT	22	23970542	23980525
DDX39B	HSCHR6_MHC_APD_CTG1	2862768	2871733
DDX39B	HSCHR6_MHC_SSTO_CTG1	2829503	2841732
DDX39B	HSCHR6_MHC_COX_CTG1	3007552	3023908
DDX39B	HSCHR6_MHC_DBB_CTG1	2777992	2794348
DDX39B	HSCHR6_MHC_MANN_CTG1	2835292	2851631
DDX39B	HSCHR6_MHC_MCF_CTG1	2872162	2888517
DDX39B	HSCHR6_MHC_QBL_CTG1	2786081	2802434
DDX39B	6	31530218	31542451
DEAF1	HSCHR11_1_CTG8	176113	206708
DEAF1	11	644224	707118
DECR1	8	90001330	90053633
DEFA1	HG76_PATCH	372762	375192
DEFA1	8	6977649	6980092
DEFB103A	HG76_PATCH	5478679	5479951
DEFB103A	8	7881392	7882663
DEFB104A	HG76_PATCH	5433729	5438536
DEFB104A	8	7836436	7841242
DEFB105A	HG76_PATCH	5418258	5421134
DEFB105A	8	7821004	7823880
DEFB119	20	31377164	31390590
DEFB128	20	187853	189711
DEFB4A	HG76_PATCH	5491964	5493999
DEFB4A	8	7894677	7896716
DENR	12	122752824	122771064
DFFA	1	10456522	10472549
DGCR6	22	18905677	18914281
DGKA	12	55927319	55954027
DHFR	5	80626226	80654983
DHRS4L2	14	23969874	24006408
DHX38	16	72093613	72112912
DHX58	17	42101404	42112733
DIABLO	12	122207394	122226062
DIPK2B	X	45148373	45200963
DKK1	10	52314281	52318042
DKK3	11	11956207	12009948
DKK4	8	42374063	42377229
DKKL1	19	49361783	49375116
DLD	7	107891162	107931730
DLG4	17	7187187	7219836
DLK1	14	100725705	100738224
DLL1	HSCHR6_1_CTG5	9444	33803
DLL1	6	170282202	170306565
DMP1	4	87650280	87664361
DMPK	19	45769709	45782552
DNAJA2	16	46955362	46973704
DNAJA4	15	78264086	78282196
DNAJB1	19	14513789	14560391
DNAJB11	3	186567403	186585800
DNAJB14	4	99896248	99946653
DNAJB2	2	219279342	219286898
DNAJB6	7	157335381	157417440
DNAJB8	3	128462437	128466968
DNAJB9	7	108569847	108574850
DNAJC17	15	40765161	40807498
DNAJC21	5	34929548	34958964
DNAJC6	1	65248219	65415871
DNAJC9	10	73183362	73247280
DNER	2	229357629	229714581
DNM1	9	128191655	128255248
DNM3	1	171817887	172418466
DNMBP	10	99875577	100009947
DNPH1	6	43225629	43229484
DOCK9	13	98793429	99086625
DOK1	2	74548875	74557554
DOK2	8	21908873	21913960
DPEP1	16	89613308	89638456
DPEP2	16	67987392	68000615
DPP4	2	161992244	162074394
DPP6	7	153748133	154894285
DPP7	9	137110540	137118309
DPT	1	168695457	168729206
DPY30	2	31867809	32039809
DRAXIN	1	11690958	11725857
DRG2	17	18087892	18107979
DRGX	10	49364065	49398484
DSC2	18	31058545	31102600
DSCAM	HG2265_PATCH	150307	986812
DSCAM	21	40010999	40847158
DSG2	18	31497624	31551351
DSG3	18	31447741	31478702
DSG4	18	31376777	31414912
DTD1	20	18587920	18766644
DTNB	2	25377028	25673717
DTX3	12	57604484	57609804
DTX3L	3	122564338	122575203
DTYMK	2	241675742	241686944
DUSP13B	10	75094432	75106499
DUSP13B	10	75094432	75109206
DUT	15	48331011	48343373
DXO	HSCHR6_MHC_COX_CTG1	3447237	3449719
DXO	HSCHR6_MHC_DBB_CTG1	3217585	3220067
DXO	HSCHR6_MHC_SSTO_CTG1	3270999	3273481
DXO	HSCHR6_MHC_QBL_CTG1	3225780	3228262
DXO	HSCHR6_MHC_MCF_CTG1	3311846	3314328
DXO	6	31969810	31972509
DYNC1H1	14	101964573	102056443
DYNLRB1	20	34516379	34540958
DYNLT1	6	158636474	158644755
DYNLT3	X	37836757	37847571
EBAG9	8	109539711	109570072
EBI3	19	4229314	4237528
ECE1	1	21217247	21345572
ECHDC3	10	11742366	11764139
ECHS1	10	133362472	133373714
ECI2	6	4115685	4135597
ECM1	1	150507989	150513789
EDA2R	X	66594384	66639298
EDAR	2	108894471	108989372
EDF1	9	136862115	136866312
EDIL3	5	83940554	84384885
EDN1	6	12287459	12297194
EEF1D	HSCHR8_3_CTG7	69737	87784
EEF1D	8	143579697	143599541
EFCAB14	1	46674659	46719146
EFEMP1	2	55865962	55924271
EFHD1	2	232606057	232682781
EFNA1	1	155127876	155134899
EFNA4	1	155063737	155069553
EFNB1	X	68828992	68842160
EFNB3	17	7705202	7711372
EGF	4	109912883	110013766
EGFL7	9	136658284	136672679
EGFLAM	5	38258409	38465480
EGFR	7	55018820	55211628
EGLN1	1	231363751	231422744
EHBP1	2	62673851	63046487
EHD3	2	31233961	31269451
EIF1AD	11	65996545	66002472
EIF1AX	X	20124525	20141982
EIF2AK2	2	37099210	37157688
EIF2AK3	2	88556741	88691518
EIF2S2	20	34088309	34112279
EIF3J	15	44537098	44563029
EIF4A3	HG2118_PATCH	159075	171857
EIF4A3	17	80134369	80147151
EIF4B	12	53006279	53042230
EIF4E	4	98878761	98929150
EIF4E2	2	232550659	232583644
EIF4EBP1	8	38030512	38060365
EIF4G1	3	184314490	184335358
EIF4G3	1	20806292	21177285
EIF5	14	103333544	103345025
ELAC1	18	50967989	50988991
ELK1	X	47631621	47650604
ELK3	12	96193978	96269835
ELN	7	74027789	74069909
ELOA	1	23743448	23762059
ELOB	16	2771414	2777290
EMC4	15	34225013	34230161
EMILIN3	20	41359962	41366818
ENAH	1	225486765	225653298
ENDOU	12	47709734	47725567
ENG	9	127811130	127855232
ENO1	1	8860977	8879289
ENO2	12	6913745	6923707
ENO3	17	4948046	4957132
ENPEP	4	110365733	110565285
ENPP2	8	119557085	119673453
ENPP5	6	46158482	46171113
ENPP6	4	184088706	184221230
ENPP7	17	79728809	79742930
ENSA	1	150600851	150629612
ENTPD2	9	137048107	137054061
ENTPD5	14	73958010	74019399
ENTPD6	20	25195693	25228075
ENTR1	9	136401922	136410614
EPCAM	2	47345158	47387601
EPHA1	HG708_PATCH	9653	28220
EPHA1	7	143390289	143408856
EPHA2	1	16124337	16156069
EPHA4	2	221418027	221574202
EPHA5	4	65319563	65670495
EPHB2	1	22710839	22921500
EPHB4	7	100802563	100827555
EPHB6	HSCHR7_2_CTG6	878117	894135
EPHB6	7	142854930	142871094
EPHX2	8	27490775	27548992
EPO	7	100720468	100723700
EPPK1	8	143857324	143878467
EPS8L2	11	694438	727729
EPYC	12	90963682	91005026
ERAP1	5	96760810	96808100
ERAP2	5	96875986	96919703
ERBB2	17	39687914	39730426
ERBB3	12	56076799	56103505
ERBB4	2	211375717	212538841
ERBIN	5	65883128	66082546
EREG	4	74365145	74388749
ERI1	HG76_PATCH	4234900	4349141
ERI1	8	9002147	9116746
ERLEC1	2	53787009	53833038
ERLIN1	10	100150094	100186033
ERMAP	1	42817078	42845907
ERN1	17	64039080	64130819
ERP29	12	112012815	112025268
ERVV-1	19	53013921	53016123
ESAM	11	124752583	124762315
ESM1	5	54977867	55022671
ESR1	6	151651284	152129619
ESYT2	7	158730995	158830253
EVI5	1	92508696	92792416
EVL	14	99971449	100144236
EXTL1	1	26019884	26036464
EXTL2	1	100872372	100896000
EZR	6	158765741	158819413
F10	13	113122788	113149531
F11	4	186260159	186291273
F11R	1	160995211	161023123
F12	5	177402133	177416583
F13A1	6	6144080	6321013
F13B	HSCHR1_5_CTG31	803872	832391
F13B	1	197038737	197067260
F2	11	46719166	46739822
F2R	5	76716126	76735770
F3	1	94529173	94541851
F7	13	113105762	113120685
F8	X	154835788	155026940
F9	X	139530739	139563459
FABP1	2	88122982	88128115
FABP2	4	119317250	119322138
FABP3	1	31364010	31376850
FABP4	8	81477651	81483239
FABP5	8	81280535	81284777
FABP6	5	160187363	160238735
FABP9	8	81458253	81461579
FADD	11	70203295	70207395
FAH	15	80152292	80186990
FAM107A	3	58564117	58627651
FAM13A	4	88725955	89111398
FAM162A	3	122384161	122412334
FAM171B	2	186694019	186765959
FAM20A	17	68535113	68601384
FAM20B	1	179025804	179076567
FAM3B	21	41304212	41357727
FAM3C	7	121347792	121398471
FAM3D	3	58633941	58666877
FAP	2	162170684	162245151
FARSA	19	12922276	12934037
FAS	10	88953813	89029605
FASLG	1	172659102	172666876
FBLN2	3	13549073	13638422
FBN2	5	128257909	128659185
FBP1	9	94603133	94640323
FCAMR	1	206957965	206970625
FCAR	HSCHR19KIR_ABC08_A1_HAP_CTG3_1	153195	169419
FCAR	HSCHR19KIR_FH05_A_HAP_CTG3_1	160268	176492
FCAR	HSCHR19KIR_FH08_A_HAP_CTG3_1	148466	165638
FCAR	HSCHR19KIR_FH06_BA1_HAP_CTG3_1	151615	167839
FCAR	HSCHR19KIR_CA01-TB01_CTG3_1	203308	220493
FCAR	HSCHR19KIR_FH06_A_HAP_CTG3_1	150198	166422
FCAR	HSCHR19KIR_HG2393_CTG3_1	20566	37751
FCAR	HSCHR19LRC_COX2_CTG3_1	519503	536649
FCAR	HSCHR19KIR_FH05_B_HAP_CTG3_1	244487	260711
FCAR	HSCHR19_4_CTG3_1	856818	873900
FCAR	HSCHR19LRC_PGF1_CTG3_1	778610	795778
FCAR	19	54874235	54891420
FCER1A	HG2577_PATCH	41540	60050
FCER1A	1	159289714	159308224
FCER2	19	7688758	7702146
FCGR2A	1	161505415	161524013
FCGR2B	1	161662803	161679490
FCGR3B	1	161623196	161631963
FCN1	9	134903232	134917954
FCN2	9	134880714	134890508
FCRL1	1	157792249	157820183
FCRL2	1	157745733	157777269
FCRL3	1	157674321	157700901
FCRL5	1	157513377	157552515
FCRL6	1	159800511	159816262
FCRLB	1	161721544	161728143
FEN1	11	61792725	61797238
FES	15	90883695	90896213
FETUB	3	186634558	186653778
FGA	4	154583126	154590745
FGB	4	154562971	154572807
FGD3	9	92947486	93036238
FGF16	X	77447389	77457278
FGF19	11	69698232	69704660
FGF2	4	122826682	122898236
FGF21	19	48755524	48758333
FGF23	12	4368227	4379712
FGF5	4	80266639	80336680
FGF7	15	49423170	49488775
FGFBP1	4	15934507	15939171
FGFBP2	4	15960245	15969309
FGFBP3	10	91906584	91909486
FGFR2	10	121478332	121598458
FGFR3	4	1793286	1808873
FGFR4	5	177086456	177098151
FGG	4	154604134	154612967
FGL1	8	17863528	17910378
FGR	1	27612064	27635565
FH	1	241497511	241519799
FHIT	3	59747277	61251459
FIS1	7	101239458	101252316
FJX1	11	35618460	35620865
FKBP14	7	30010587	30026702
FKBP1B	2	24049701	24063681
FKBP4	12	2794290	2805423
FKBP5	6	35572945	35728622
FKBP6	7	73328161	73358637
FKBP7	2	178463664	178478600
FKBPL	HSCHR6_MHC_DBB_CTG1	3370071	3371655
FKBPL	HSCHR6_MHC_COX_CTG1	3567038	3568622
FKBPL	HSCHR6_MHC_MCF_CTG1	3470727	3472311
FKBPL	6	32128697	32131070
FLI1	11	128686535	128813267
FLRT2	14	85530017	85654428
FLRT3	20	14322985	14337631
FLT1	13	28300346	28495145
FLT3	13	28003274	28100592
FLT3LG	19	49474150	49486233
FLT4	5	180601506	180649629
FMNL1	17	45220736	45247319
FN1	2	215360440	215436120
FNDC1	6	159169353	159272112
FNTA	8	43034194	43085788
FOLH1	11	49145092	49208640
FOLR1	11	72189558	72196323
FOLR2	11	72216601	72221950
FOLR3	11	72114869	72141085
FOXJ3	1	42176535	42335913
FOXO1	13	40555667	40667612
FOXO3	6	108559652	108684774
FRK	6	115931149	116061093
FRMD4B	3	69168782	69542583
FRZB	2	182833275	182866638
FSHB	11	30231014	30235261
FST	5	53480210	53487134
FSTL1	3	120392293	120451241
FSTL3	19	676392	683392
FTCD	21	46136083	46155581
FTCD	HSCHR21_5_CTG2	1168	14626
FTH1	11	61959718	61967634
FUCA1	1	23845077	23868356
FUOM	10	133353952	133358039
FURIN	15	90868588	90883564
FUS	16	31180134	31196963
FUT1	19	48748011	48755390
FUT3	HSCHR19_6_CTG2	16467	25055
FUT3	19	5842888	5851471
FUT8	14	65410592	65744125
FUT9	6	96015436	96215612
FXN	9	69035750	69079076
FXYD5	19	35154569	35171791
FYB1	5	39105252	39274528
FYN	6	111660332	111873475
GABARAP	17	7240008	7242449
GABARAPL1	12	10212458	10223128
GABARAPL2	16	75566375	75577881
GADD45GIP1	19	12953119	12957223
GAGE2A	X	49589496	49596827
GAL	11	68683020	68691205
GALNT1	18	35580892	35713370
GALNT10	5	154190514	154420984
GALNT2	1	230057990	230282128
GALNT3	2	165747588	165846201
GALNT5	2	157257578	157318491
GALNT7	4	173168811	173323967
GAPDH	12	6534012	6538930
GART	HSCHR21_4_CTG1_1	102653	115588
GART	21	33503371	33543524
GAS1	9	86944362	86947506
GAS6	13	113820468	113864123
GASK1A	3	42979087	43067898
GAST	17	41712331	41715969
GATD3	21	44133610	44210114
GBP1	1	89051505	89072769
GBP4	1	89181144	89198942
GC	4	71735436	71805527
GCC1	7	127580628	127593611
GCG	2	162142882	162152404
GCHFR	15	40764068	40767708
GCK	7	44143213	44198170
GCKR	2	27496532	27523688
GCLM	1	93885199	93909513
GCNT1	9	76419850	76651203
GDF15	19	18374731	18389176
GDF2	10	47322454	47327588
GDF5	20	35433347	35454746
GDNF	5	37812677	37840041
GEM	8	94249249	94262461
GET3	19	12737139	12748325
GFAP	17	44903159	44916937
GFER	HG401_PATCH	50341	53897
GFER	16	1984193	1987749
GFRA1	10	116056925	116276803
GFRA2	8	21690398	21812370
GFRA3	5	138252380	138274621
GFRAL	6	55327469	55402493
GGACT	13	100528034	100589528
GGCT	7	30496620	30504850
GGH	8	63014881	63039407
GGT1	22	24594684	24629011
GGT5	22	24218000	24245748
GH2	17	63880215	63881944
GHR	5	42423439	42721878
GHRL	3	10285666	10292959
GIGYF2	2	232697259	232860605
GIMAP7	7	150514872	150521073
GIMAP8	7	150450630	150479395
GIP	17	48958554	48968596
GIPC2	1	77979542	78138448
GIPC3	19	3585478	3593541
GIT1	17	29573475	29594054
GKN1	2	68974573	68980980
GLA	X	101393273	101408012
GLB1	3	32996609	33097202
GLCE	15	69160584	69272217
GLO1	6	38675925	38703145
GLOD4	17	757097	782341
GLRX	5	95751319	95822734
GLRX2	1	193090866	193106114
GLRX5	14	95533503	95544724
GLT8D1	3	52694153	52706368
GLT8D2	12	103988612	104064468
GLTPD2	17	4788964	4790589
GM2A	5	151212150	151270440
GMFG	HG2569_PATCH	108735	122754
GMFG	19	39328353	39342372
GMPR	6	16238555	16295923
GMPR2	HG1_PATCH	533400	540220
GMPR2	14	24232211	24239246
GNAI3	1	109548584	109600195
GNAS	20	58839718	58911192
GNE	9	36214441	36277042
GNLY	2	85685175	85698852
GNMT	6	42960690	42963883
GNPDA1	5	141991749	142013057
GNPDA2	4	44682200	44726588
GNPNAT1	14	52770976	52791668
GOLGA3	12	132768902	132829143
GOLM1	9	86026138	86100173
GOLM2	15	44288699	44415758
GOPC	6	117560269	117602542
GORASP2	2	170928464	170967135
GOSR1	17	30477362	30527592
GOT1	10	99396870	99430671
GP1BA	17	4932277	4935023
GP1BB	22	19723539	19724776
GP2	16	20309574	20328412
GP5	3	194394821	194399266
GP6	HSCHR19LRC_LRC_S_CTG3_1	995777	1020336
GP6	HSCHR19LRC_COX2_CTG3_1	658907	683466
GP6	HSCHR19LRC_LRC_I_CTG3_1	993691	1018250
GP6	HSCHR19LRC_LRC_T_CTG3_1	932070	956629
GP6	HSCHR19LRC_COX1_CTG3_1	917103	941662
GP6	HSCHR19LRC_LRC_J_CTG3_1	1021228	1045787
GP6	HSCHR19_4_CTG3_1	996187	1020746
GP6	HSCHR19LRC_PGF1_CTG3_1	916487	941046
GP6	HSCHR19LRC_PGF2_CTG3_1	725866	750425
GP6	19	55013705	55038264
GPA33	1	167048289	167166479
GPC1	2	240435636	240468076
GPC3	X	133535745	133987100
GPC5	13	91398621	92873682
GPC6	13	93226807	94408020
GPD1	12	50103982	50111316
GPHA2	11	64934471	64935893
GPI	HSCHR19_2_CTG3_1	8674	30733
GPI	19	34359480	34402413
GPIHBP1	8	143213019	143217172
GPKOW	HSCHRX_3_CTG3	272358	282686
GPKOW	X	49113396	49123746
GPNMB	7	23235967	23275108
GPR135	14	59429022	59465380
GPR37	7	124743885	124765792
GPRC5C	HG2580_PATCH	1299	28101
GPRC5C	17	74424851	74451653
GPX1	3	49357174	49358605
GRAP2	22	39901084	39973721
GRB14	2	164492417	164622472
GREM1	HSCHR15_4_CTG8	4932598	4949251
GREM1	HSCHR15_6_CTG8	2236418	2263520
GREM1	15	32716998	32745106
GRHPR	9	37422664	37437259
GRIA4	11	105609535	105982090
GRIK2	6	100962701	102081622
GRK2	11	67266391	67286557
GRK5	10	119207543	119459745
GRN	17	44345108	44353106
GRP	18	59220158	59230774
GRPEL1	4	7058643	7068145
GRSF1	4	70815783	70839903
GSN	9	121201324	121334721
GSR	8	30678064	30727975
GSTA1	6	52791371	52803881
GSTA3	6	52896639	52909701
GSTM1	1	109687340	109709039
GSTM4	1	109656099	109665496
GSTO1	10	104235356	104267461
GSTP1	11	67583658	67586659
GSTT2B	HSCHR22_1_CTG7	193780	197568
GSTT2B	22	23957414	23961197
GTF2I	7	74650231	74760706
GTPBP2	6	43605316	43629264
GUCA2A	1	42162690	42164745
GUSB	7	65960677	65982283
GYS1	19	48968125	48993337
GZMA	5	55102646	55110252
GZMB	14	24630954	24634267
GZMH	14	24606480	24609821
GZMM	19	544034	549924
H6PD	1	9234774	9271337
HADH	4	107989714	108035241
HAGH	16	1795620	1827157
HAO1	20	7882985	7940520
HARS1	5	140673035	140691537
HAVCR1	5	157025939	157069396
HAVCR2	5	157085422	157142869
HBB	11	5225464	5229395
HBEGF	5	140332843	140346614
HBQ1	16	180459	181179
HBZ	16	142728	154503
HCG22	HSCHR6_MHC_APD_CTG1	2386020	2392461
HCG22	HSCHR6_MHC_DBB_CTG1	2313701	2316162
HCG22	HSCHR6_MHC_COX_CTG1	2535827	2542268
HCG22	HSCHR6_MHC_MCF_CTG1	2397575	2404006
HCG22	6	31053311	31065229
HCG22	HSCHR6_MHC_MANN_CTG1	2363962	2370397
HCG22	HSCHR6_MHC_QBL_CTG1	2311782	2317853
HCLS1	3	121631399	121660927
HDAC8	X	72329516	72573101
HDDC2	6	125219962	125302128
HDGF	1	156742109	156766925
HDGFL2	19	4472244	4502220
HDHD2	18	47076104	47151106
HEBP1	12	12974867	13000275
HEG1	3	124965710	125055997
HEPACAM2	7	93188534	93226559
HEPH	X	66162483	66268910
HEXIM1	17	45148475	45152099
HGF	7	81699010	81770438
HGFAC	4	3441924	3449493
HGS	17	81683326	81703138
HHEX	10	92689903	92695647
HINT1	5	131155383	131224468
HIP1R	12	122834453	122862961
HJV	1	146017468	146036746
HLA-DQA2	6	32741391	32747198
HLA-DQA2	HSCHR6_MHC_APD_CTG1	4047520	4053351
HLA-DQA2	HSCHR6_MHC_SSTO_CTG1	4141489	4147359
HLA-DQA2	HSCHR6_MHC_COX_CTG1	4055484	4160989
HLA-DQA2	HSCHR6_MHC_DBB_CTG1	3986113	3991965
HLA-DQA2	HSCHR6_MHC_MANN_CTG1	4160657	4166218
HLA-DQA2	HSCHR6_MHC_MCF_CTG1	4040716	4046584
HLA-DQA2	HSCHR6_MHC_QBL_CTG1	3935606	3941465
HMBS	11	119084861	119093834
HMCN2	9	130265760	130434123
HMGB1	13	30456704	30618872
HMGB2	4	173331376	173334456
HMGB3	X	150980509	150990775
HMGCL	1	23801877	23838620
HMOX1	22	35380361	35394214
HMOX2	HSCHR16_3_CTG1	177013	212670
HMOX2	16	4474246	4510352
HNF4A	20	44355699	44432845
HNMT	2	137964020	138016364
HNRNPA2B1	7	26171151	26201529
HNRNPAB	5	178204479	178211183
HNRNPDL	4	82422565	82430471
HNRNPK	9	83966766	83981586
HNRNPUL1	19	41262496	41307787
HP	16	72054505	72061071
HPCAL1	2	10301356	10427835
HPGD	4	174490175	174523154
HPGDS	4	94298507	94342876
HPSE	4	83292461	83335153
HPX	11	6431006	6442617
HRC	19	49151194	49155432
HRG	3	186660216	186678452
HS1BP3	2	20560448	20651152
HS3ST3A1	17	13494032	13601929
HS3ST3B1	17	14301081	14349404
HS6ST1	2	128236716	128318868
HS6ST2	X	132626015	132961395
HSBP1	16	83719311	83819737
HSD11B1	1	209686178	209734949
HSD17B14	19	48813014	48837064
HSDL2	9	112380051	112472408
HSP90B1	12	103930107	103953931
HSPA1A	HSCHR6_MHC_APD_CTG1	3148086	3150568
HSPA1A	HSCHR6_MHC_DBB_CTG1	3063243	3065725
HSPA1A	HSCHR6_MHC_COX_CTG1	3292715	3295197
HSPA1A	6	31815543	31817994
HSPA1A	HSCHR6_MHC_QBL_CTG1	3071292	3073774
HSPA1L	HSCHR6_MHC_APD_CTG1	3142241	3147687
HSPA1L	HSCHR6_MHC_COX_CTG1	3286871	3292316
HSPA1L	HSCHR6_MHC_DBB_CTG1	3057398	3062844
HSPA1L	HSCHR6_MHC_QBL_CTG1	3065448	3070893
HSPA1L	6	31809619	31815788
HSPA2	14	64535905	64546173
HSPB1	7	76302673	76305813
HSPB6	19	35754566	35758079
HSPG2	1	21822244	21937310
HTATIP2	11	20355910	20383782
HTR1B	6	77460924	77463491
HTRA2	2	74529596	74533350
HYAL1	3	50299883	50312890
HYOU1	HG2217_PATCH	65787	78826
HYOU1	11	119044185	119057252
ICAM1	19	10271093	10286615
ICAM2	17	64002594	64020635
ICAM3	19	10333776	10339847
ICAM4	19	10286955	10288522
ICAM5	19	10289952	10296778
ICOSLG	21	44215382	44241446
IDI2	10	1018910	1025859
IDO1	8	39902275	39928790
IDS	X	149476988	149521096
IDUA	4	986997	1008344
IFI16	1	158999953	159055156
IFI30	19	18173162	18178121
IFIT3	10	89327307	89377473
IFNAR1	21	33324387	33359864
IFNG	12	68154768	68159740
IFNGR1	6	137197483	137219449
IFNGR2	HSCHR21_4_CTG1_1	5408	83477
IFNGR2	21	33403369	33479348
IFNL1	HG2569_PATCH	76789	79055
IFNL1	19	39296407	39298673
IFNLR1	1	24154168	24187959
IFT20	17	28328319	28335489
IGBP1	X	70133345	70166324
IGDCC3	15	65327127	65378078
IGDCC4	15	65381479	65423083
IGF1R	15	98648539	98964530
IGF2BP3	7	23310209	23470491
IGF2R	6	159969082	160113507
IGFBP1	7	45888360	45893660
IGFBP2	2	216632828	216664441
IGFBP3	7	45912245	45921874
IGFBP4	17	40443446	40457727
IGFBP6	12	53097436	53102345
IGFBP7	4	57030766	57110690
IGFBPL1	9	38406528	38424454
IGFLR1	19	35738798	35742455
IGHE	HSCHR14_3_CTG1	67715	69502
IGHE	14	105597691	105601728
IGHG1	HSCHR14_3_CTG1	204112	210840
IGHG1	14	105736343	105743071
IGHMBP2	11	68903863	68940602
IGLC2	22	22900976	22901437
IGLL1	22	23573125	23580302
IGSF21	1	18107710	18378483
IGSF3	1	116574399	116667820
IGSF8	1	160091340	160101109
IGSF9	1	159927039	159949468
IKBKG	X	154541179	154565047
IKZF2	2	212999691	213152427
IL10	1	206767602	206774541
IL10RB	21	33266363	33311420
IL11RA	9	34651582	34661902
IL12A	3	159988835	159996019
IL12B	5	159314780	159330863
IL12RB1	19	18058995	18098944
IL12RB2	1	67307364	67398724
IL13RA1	X	118727133	118794535
IL15	4	141636237	141735276
IL15RA	10	5943639	5978187
IL16	15	81159575	81314058
IL17C	16	88638572	88640468
IL17D	13	20702127	20723099
IL17F	6	52236681	52245689
IL17RA	22	17084934	17115693
IL17RB	3	53845783	53866045
IL18	11	112143251	112164106
IL18BP	11	71998613	72007315
IL18R1	2	102311529	102398777
IL18RAP	2	102418570	102452567
IL19	1	206770764	206842981
IL1A	2	112773925	112784493
IL1B	2	112829751	112836816
IL1R1	2	102063933	102179874
IL1R2	2	101991824	102029018
IL1RAP	3	190514051	190659750
IL1RL1	2	102311502	102352353
IL1RL2	2	102186980	102240002
IL1RN	2	113099315	113134016
IL20RB	3	136946230	137011085
IL21	4	122610108	122621066
IL22	12	68248242	68253604
IL22RA1	1	24119771	24143165
IL22RA2	6	137143820	137173648
IL23R	1	67138907	67259979
IL27	16	28499362	28512051
IL27RA	HG109_PATCH	243603	265059
IL27RA	19	14031644	14053223
IL2RA	10	6010689	6062370
IL2RB	22	37118666	37176676
IL2RG	X	71107404	71112108
IL31RA	5	55851357	55922854
IL32	16	3064301	3082192
IL34	16	70579878	70661556
IL36A	2	113005459	113008044
IL36G	2	112973203	112985658
IL3RA	Y	1335025	1382689
IL3RA	X	1335025	1382689
IL4R	16	27313462	27364811
IL5RA	3	3066324	3126613
IL6	7	22725884	22732002
IL6R	1	154405193	154469450
IL6ST	5	55935095	55995022
IL7	8	78675743	78805523
IL7R	5	35852695	35879603
ILKAP	2	238170400	238203756
IMMT	2	86142798	86195626
IMPA1	8	81656914	81686848
IMPACT	18	24426634	24453531
IMPDH1	7	128392277	128410009
IMPDH2	3	49024321	49029452
ING1	13	110712736	110723339
INHBB	2	120346136	120351803
INHBC	12	57434784	57452062
INPP1	2	190340590	190371665
INPP5D	HG2232_PATCH	5305	153241
INPP5D	2	233059967	233207903
INPP5E	9	136428618	136439882
INPP5J	22	31122731	31134697
