Olink ID*	UniProt ID	Protein name	Gene name
OID41328	Q96EL1	PAK4-inhibitor INKA1	INKA1
OID41329	Q9ULG1	Chromatin-remodeling ATPase INO80	INO80
OID41330	Q96T92	Insulinoma-associated protein 2	INSM2
OID41331	Q6ZSG2	Inhibitory synaptic factor 2A	INSYN2A
OID41332	Q9NVM9	Integrator complex subunit 13	INTS13
OID41333	Q75QN2	Integrator complex subunit 8	INTS8
OID41334	Q92551	Inositol hexakisphosphate kinase 1	IP6K1
OID41335	Q8NFU5	Inositol polyphosphate multikinase	IPMK
OID41336	Q96DY2	Dynein regulatory complex protein 10	IQCD
OID41337	Q6IPM2	IQ domain-containing protein E	IQCE
OID41338	Q9H095	Dynein regulatory complex protein 9	IQCG
OID41339	B3KU38	IQCJ-SCHIP1 readthrough transcript protein	IQCJ-SCHIP1
OID41340	Q9H0B3	IQ domain-containing protein N	IQCN
OID41341	Q6DN90	IQ motif and SEC7 domain-containing protein 1	IQSEC1
OID41342	Q5JU85	IQ motif and SEC7 domain-containing protein 2	IQSEC2
OID41343	Q7Z5L9	Interferon regulatory factor 2-binding protein 2	IRF2BP2
OID41344	Q9H1B7	Probable E3 ubiquitin-protein ligase IRF2BPL	IRF2BPL
OID41345	Q8WZA9	Immunity-related GTPase family Q protein	IRGQ
OID41346	Q86U28	Iron-sulfur cluster assembly 2 homolog, mitochondrial	ISCA2
OID41347	P61371	Insulin gene enhancer protein ISL-1	ISL1
OID41348	Q6GPH6	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1	ITPRIPL1
OID41349	Q8IYV9	Izumo sperm-egg fusion protein 1	IZUMO1
OID41350	Q92613	Protein Jade-3	JADE3
OID41351	Q96AA8	Janus kinase and microtubule-interacting protein 2	JAKMIP2
OID41352	Q9HDC5	Junctophilin-1	JPH1
OID41353	Q14678	KN motif and ankyrin repeat domain-containing protein 1	KANK1
OID41354	Q7Z3B3	KAT8 regulatory NSL complex subunit 1	KANSL1
OID41355	Q9H8E8	Cysteine-rich protein 2-binding protein	KAT14
OID41356	Q9BW62	Katanin p60 ATPase-containing subunit A-like 1	KATNAL1
OID41357	Q8WVZ9	Kelch repeat and BTB domain-containing protein 7	KBTBD7
OID41358	P22001	Potassium voltage-gated channel subfamily A member 3	KCNA3
OID41359	Q9NZV8	Potassium voltage-gated channel subfamily D member 2	KCND2
OID41360	P15382	Putative potassium voltage-gated channel subfamily E member 1B	KCNE1
OID41361	Q8N5I3	Potassium channel regulatory protein	KCNRG
OID41362	Q68DU8	BTB/POZ domain-containing protein KCTD16	KCTD16
OID41363	Q17RG1	BTB/POZ domain-containing protein KCTD19	KCTD19
OID41364	Q14681	BTB/POZ domain-containing protein KCTD2	KCTD2
OID41365	Q6ZWB6	BTB/POZ domain-containing protein KCTD8	KCTD8
OID41366	Q8NAX2	Keratinocyte differentiation factor 1	KDF1
OID41367	Q9BY66	Lysine-specific demethylase 5D	KDM5D
OID41368	O75525	KH domain-containing, RNA-binding, signal transduction-associated protein 3	KHDRBS3
OID41369	Q6ZU52	Uncharacterized protein KIAA0408	KIAA0408
OID41370	Q9BVV6	Protein TALPID3	KIAA0586
OID41371	Q9ULL0	Acrosomal protein KIAA1210	KIAA1210
OID41372	Q5JYT7	Uncharacterized protein KIAA1755	KIAA1755
OID41373	Q9NS87	Kinesin-like protein KIF15	KIF15
OID41374	Q8NI77	Kinesin-like protein KIF18A	KIF18A
OID41375	Q2TAC6	Kinesin-like protein KIF19	KIF19
OID41376	Q12756	Kinesin-like protein KIF1A	KIF1A
OID41377	Q5T7B8	Kinesin-like protein KIF24	KIF24
OID41378	Q9ULI4	Kinesin-like protein KIF26A	KIF26A
OID41379	Q99661	Kinesin-like protein KIF2C	KIF2C
OID41380	O15066	Kinesin-like protein KIF3B	KIF3B
OID41381	Q2VIQ3	Chromosome-associated kinesin KIF4B	KIF4B
OID41382	O60282	Kinesin heavy chain isoform 5C	KIF5C
OID41383	Q2M1P5	Kinesin-like protein KIF7	KIF7
OID41384	Q9HAQ2	Kinesin-like protein KIF9	KIF9
OID41388	Q8N743	Killer cell immunoglobulin-like receptor 3DL3	KIR3DL3
OID41389	Q9Y4X4	Krueppel-like factor 12	KLF12
OID41390	Q8TBB5	Kelch domain-containing protein 4	KLHDC4
OID41391	Q96G42	Kelch domain-containing protein 7B	KLHDC7B
OID41392	Q2TBA0	Kelch-like protein 40	KLHL40
OID41393	Q107X0	Putative protein KRIP1	KLKP1
OID41394	Q8IZD2	Inactive histone-lysine N-methyltransferase 2E	KMT2E
OID41395	Q9NQR1	N-lysine methyltransferase KMT5A	KMT5A
OID41396	Q4FZB7	Histone-lysine N-methyltransferase KMT5B	KMT5B
OID41397	Q13601	KRR1 small subunit processome component homolog	KRR1
OID41398	Q15323	Keratin, type I cuticular Ha1	KRT31
OID41399	Q8N1N4	Keratin, type II cytoskeletal 78	KRT78
OID41400	Q9BQD3	KxDL motif-containing protein 1	KXD1
OID41401	Q5T7N2	LINE-1 type transposase domain-containing protein 1	L1TD1
OID41402	Q969R5	Lethal(3)malignant brain tumor-like protein 2	L3MBTL2
OID41403	Q6IAA8	Ragulator complex protein LAMTOR1	LAMTOR1
OID41404	Q659C4	La-related protein 1B	LARP1B
OID41405	Q71RC2	La-related protein 4	LARP4
OID41406	Q9Y4W2	Ribosomal biogenesis protein LAS1L	LAS1L
OID41407	Q6XYB7	Transcription factor LBX2	LBX2
OID41408	O95447	Lebercilin-like protein	LCA5L
OID41409	P06239	Tyrosine-protein kinase Lck	LCK
OID41410	Q96BZ8	Leukocyte receptor cluster member 1	LENG1
OID41411	Q96PV6	Leukocyte receptor cluster member 8	LENG8
OID41412	P48742	LIM/homeobox protein Lhx1	LHX1
OID41413	Q9UGP4	LIM domain-containing protein 1	LIMD1
OID41414	A2RU37	Uncharacterized protein encoded by LINC02872	LINC02872
OID41415	E5RJ46	Putative uncharacterized protein LINC02906	LINC02906
OID41416	Q5VXI9	Lipase member N	LIPN
OID41417	Q9NZU5	LIM and cysteine-rich domains protein 1	LMCD1
OID41418	Q8IXW0	Lamin tail domain-containing protein 2	LMNTD2
OID41419	Q96KN1	Protein LRATD2	LRATD2
OID41420	Q9Y2L9	Leucine-rich repeat and calponin homology domain-containing protein 1	LRCH1
OID41421	Q9BTN0	Leucine-rich repeat and fibronectin type-III domain-containing protein 3	LRFN3
OID41422	Q9BY71	Leucine-rich repeat-containing protein 3	LRRC3
OID41423	Q1X8D7	Leucine-rich repeat-containing protein 36	LRRC36
OID41424	Q9HBW1	Leucine-rich repeat-containing protein 4	LRRC4
OID41425	Q9Y546	Leucine-rich repeat-containing protein 42	LRRC42
OID41426	Q8IUZ0	Leucine-rich repeat-containing protein 49	LRRC49
OID41427	Q9HCJ2	Leucine-rich repeat-containing protein 4C	LRRC4C
OID41428	Q8N4P6	Leucine-rich repeat-containing protein 71	LRRC71
OID41429	Q9C099	Leucine-rich repeat and coiled-coil domain-containing protein 1	LRRCC1
OID41430	Q86VH4	Leucine-rich repeat transmembrane neuronal protein 4	LRRTM4
OID41431	Q3MHD2	Protein LSM12	LSM12
OID41432	P29376	Leukocyte tyrosine kinase receptor	LTK
OID41433	Q96GA3	Protein LTV1 homolog	LTV1
OID41434	Q96LR2	Leucine rich adaptor protein 1	LURAP1
OID41435	Q86SG7	Lysozyme g-like protein 2	LYG2
OID41436	Q96S90	LysM and putative peptidoglycan-binding domain-containing protein 1	LYSMD1
OID41437	O60299	Leucine zipper putative tumor suppressor 3	LZTS3
OID41438	Q15013	MAD2L1-binding protein	MAD2L1BP
OID41439	Q9H063	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1
OID41440	Q9Y5Q3	Transcription factor MafB	MAFB
OID41441	A6NCF6	Putative MAGE domain-containing protein MAGEA13P	MAGEA13P
OID41442	P43358	Melanoma-associated antigen 4	MAGEA4
OID41443	P43362	Melanoma-associated antigen 9	MAGEA9
OID41444	Q96M61	Melanoma-associated antigen B18	MAGEB18
OID41445	Q9H6Y5	PDZ domain-containing protein MAGIX	MAGIX
OID41446	Q9P2G4	Microtubule-associated protein 10	MAP10
OID41447	Q92918	Mitogen-activated protein kinase kinase kinase kinase 1	MAP4K1
OID41448	Q9H9H5	MAP6 domain-containing protein 1	MAP6D1
OID41449	Q96T17	MAP7 domain-containing protein 2	MAP7D2
OID41450	Q9UPT6	C-Jun-amino-terminal kinase-interacting protein 3	MAPK8IP3
OID41451	Q9BPZ7	Target of rapamycin complex 2 subunit MAPKAP1	MAPKAP1
OID41452	Q9H992	E3 ubiquitin-protein ligase MARCHF7	MARCHF7
OID41453	P27448	MAP/microtubule affinity-regulating kinase 3	MARK3
OID41454	Q96L34	MAP/microtubule affinity-regulating kinase 4	MARK4
OID41455	Q6P0Q8	Microtubule-associated serine/threonine-protein kinase 2	MAST2
OID41456	O15021	Microtubule-associated serine/threonine-protein kinase 4	MAST4
OID41457	Q9NS73	MAP3K12-binding inhibitory protein 1	MBIP
OID41458	Q8IVS2	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	MCAT
OID41459	O60318	Germinal-center associated nuclear protein	MCM3AP
OID41460	Q96EZ8	Microspherule protein 1	MCRS1
OID41461	Q71F56	Mediator of RNA polymerase II transcription subunit 13-like	MED13L
OID41462	O75586	Mediator of RNA polymerase II transcription subunit 6	MED6
OID41463	Q06413	Myocyte-specific enhancer factor 2C	MEF2C
OID41464	O15553	Pyrin	MEFV
OID41465	A2RUB1	Meiosis-specific coiled-coil domain-containing protein MEIOC	MEIOC
OID41466	Q96IZ6	tRNA N(3)-methylcytidine methyltransferase METTL2A	METTL2A
OID41467	Q8TCB7	tRNA N(3)-methylcytidine methyltransferase METTL6	METTL6
OID41468	Q6ZN04	RNA-binding protein MEX3B	MEX3B
OID41469	Q86XN8	RNA-binding protein MEX3D	MEX3D
OID41470	P55082	Microfibril-associated glycoprotein 3	MFAP3
OID41471	Q9BY79	Membrane frizzled-related protein	MFRP
OID41472	Q8IWI9	MAX gene-associated protein	MGA
OID41473	Q5JRA6	Transport and Golgi organization protein 1 homolog	MIA3
OID41474	Q8TDZ2	[F-actin]-monooxygenase MICAL1	MICAL1
OID41475	Q7RTP6	[F-actin]-monooxygenase MICAL3	MICAL3
OID41476	Q504T8	Midnolin	MIDN
OID41477	Q9UGB7	Inositol oxygenase	MIOX
OID41478	Q6P0N0	Mis18-binding protein 1	MIS18BP1
OID41479	Q8IVT2	Mitotic interactor and substrate of PLK1	MISP
OID41480	Q13434	Putative E3 ubiquitin-protein ligase makorin-4	MKRN4P
OID41481	Q16655	Melanoma antigen recognized by T-cells 1	MLANA
OID41482	Q15773	Myeloid leukemia factor 2	MLF2
OID41483	Q5VWP3	Muscular LMNA-interacting protein	MLIP
OID41484	O95396	Adenylyltransferase and sulfurtransferase MOCS3	MOCS3
OID41485	Q7Z3U7	Protein MON2 homolog	MON2
OID41486	Q15014	Mortality factor 4-like protein 2	MORF4L2
OID41487	Q99547	M-phase phosphoprotein 6	MPHOSPH6
OID41488	Q96EL3	39S ribosomal protein L53, mitochondrial	MRPL53
OID41489	Q92552	28S ribosomal protein S27, mitochondrial	MRPS27
OID41490	Q96H12	Myb/SANT-like DNA-binding domain-containing protein 3	MSANTD3
OID41491	Q9HCI7	E3 ubiquitin-protein ligase MSL2	MSL2
OID41492	Q04912	Macrophage-stimulating protein receptor	MST1R
OID41493	Q13126	S-methyl-5'-thioadenosine phosphorylase	MTAP
OID41494	Q9Y4B5	Microtubule cross-linking factor 1	MTCL1
OID41495	Q49AM1	Transcription termination factor 2, mitochondrial	MTERF2
OID41496	Q96E29	Transcription termination factor 3, mitochondrial	MTERF3
OID41497	Q14872	Metal regulatory transcription factor 1	MTF1
OID41498	Q9H019	Mitochondrial fission regulator 1-like	MTFR1L
OID41499	Q9Y217	Myotubularin-related protein 6	MTMR6
OID41500	Q9Y216	Myotubularin-related protein 7	MTMR7
OID41501	Q9P0P8	Mitochondrial transcription rescue factor 1	MTRES1
OID41502	Q13203	Myosin-binding protein H	MYBPH
OID41503	P12882	Myosin-1	MYH1
OID41504	P35580	Myosin-10	MYH10
OID41505	P12883	Myosin-7	MYH7
OID41506	Q02045	Myosin light chain 5	MYL5
OID41507	Q8IUG5	Unconventional myosin-XVIIIb	MYO18B
OID41508	Q12965	Unconventional myosin-Ie	MYO1E
OID41509	B0I1T2	Unconventional myosin-Ig	MYO1G
OID41510	Q8WXR4	Myosin-IIIb	MYO3B
OID41511	Q9Y4I1	Unconventional myosin-Va	MYO5A
OID41512	Q9ULV0	Unconventional myosin-Vb	MYO5B
OID41513	Q5VVJ2	Deubiquitinase MYSM1	MYSM1
OID41514	B2RBV5	Putative MORF4 family-associated protein 1-like protein UPP	MR1L2
OID41515	A8MT66	Putative uncharacterized protein ENSP00000383407	YU005
OID41516	Q6ZSR3	Putative uncharacterized protein FLJ45275, mitochondrial	YO027
OID41517	Q6ZRN7	Putative uncharacterized protein FLJ46214	YP029
OID41518	A8MUA0_A8MX80	Putative UPF0607 protein ENSP00000383144/ENSP00000381514	YB057_YM017
OID41519	Q86UW6	NEDD4-binding protein 2	N4BP2
OID41520	Q92802	NEDD4-binding protein 2-like 2	N4BP2L2
OID41521	Q9BSU3	N-alpha-acetyltransferase 11	NAA11
OID41522	Q9H115	Beta-soluble NSF attachment protein	NAPB
OID41523	Q8IVL1	Neuron navigator 2	NAV2
OID41524	Q6ZNJ1	Neurobeachin-like protein 2	NBEAL2
OID41525	Q86T75	Neuroblastoma breakpoint family member 11	NBPF11
OID41526	Q15003	Condensin complex subunit 2	NCAPH
OID41527	A8MVU1_P14598	Neutrophil cytosol factor 1/1C	NCF1C_NCF1
OID41528	Q9HCH0	Nck-associated protein 5-like	NCKAP5L
OID41529	Q15788	Nuclear receptor coactivator 1	NCOA1
OID41530	Q8NI08	Nuclear receptor coactivator 7	NCOA7
OID41531	O14931	Natural cytotoxicity triggering receptor 3	NCR3
OID41532	Q9NXR1	Nuclear distribution protein nudE homolog 1	NDE1
OID41533	Q92597	Protein NDRG1	NDRG1
OID41534	O95299	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10
OID41535	Q9NRX3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2	NDUFA4L2
OID41536	Q9Y6M9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	NDUFB9
OID41537	P51955	Serine/threonine-protein kinase Nek2	NEK2
OID41538	P51957	Serine/threonine-protein kinase Nek4	NEK4
OID41539	Q8IXH7	Negative elongation factor C/D	NELFCD
OID41540	O76050	E3 ubiquitin-protein ligase NEURL1	NEURL1
OID41541	A8MQ27	E3 ubiquitin-protein ligase NEURL1B	NEURL1B
OID41542	Q8NBZ9	Putative uncharacterized protein NEXN-AS1	NEXN-AS1
OID41543	Q8NET5	NFAT activation molecule 1	NFAM1
OID41544	Q8NEJ9	Neuroguidin	NGDN
OID41545	Q6T4R5	Actin remodeling regulator NHS	NHS
OID41546	Q5SYE7	NHS-like protein 1	NHSL1
OID41547	O15226	NF-kappa-B-repressing factor	NKRF
OID41548	Q86W24	NACHT, LRR and PYD domains-containing protein 14	NLRP14
OID41549	Q9NWW6	Nicotinamide riboside kinase 1	NMRK1
OID41550	Q9NPI5	Nicotinamide riboside kinase 2	NMRK2
OID41551	Q9Y314	Nitric oxide synthase-interacting protein	NOSIP
OID41552	P51513	RNA-binding protein Nova-1	NOVA1
OID41553	Q9UNW9	RNA-binding protein Nova-2	NOVA2
OID41554	E9PIF3	Nuclear pore complex-interacting protein family member A2	NPIPA2
OID41555	E9PJ23	Nuclear pore complex-interacting protein family member B6	NPIPB6
OID41556	Q14995	Nuclear receptor subfamily 1 group D member 2	NR1D2
OID41557	P49116	Nuclear receptor subfamily 2 group C member 2	NR2C2
OID41558	Q86VF7	Nebulin-related-anchoring protein	NRAP
OID41559	O14511	Pro-neuregulin-2, membrane-bound isoform	NRG2
OID41560	P56975	Pro-neuregulin-3, membrane-bound isoform	NRG3
OID41561	P42857	Neuronal vesicle trafficking-associated protein 1	NSG1
OID41562	P78549	Endonuclease III-like protein 1	NTHL1
OID41563	Q9BSD7	Cancer-related nucleoside-triphosphatase	NTPCR
OID41564	P04629	High affinity nerve growth factor receptor	NTRK1
OID41565	O95848	Uridine diphosphate glucose pyrophosphatase NUDT14	NUDT14
OID41566	P0C024	Peroxisomal coenzyme A diphosphatase NUDT7	NUDT7
OID41567	Q7Z417	FMR1-interacting protein NUFIP2	NUFIP2
OID41568	O60356	Nuclear protein 1	NUPR1
OID41569	Q96CM4	Nucleoredoxin-like protein 1	NXNL1
OID41570	Q5VST9	Obscurin	OBSCN
OID41571	Q96NG3	Outer dynein arm-docking complex subunit 4	ODAD4
OID41572	O15527	N-glycosylase/DNA lyase	OGG1
OID41573	O95897	Noelin-2	OLFM2
OID41574	Q13438	Protein OS-9	OS9
OID41575	Q9NX31	Oxidative stress-responsive serine-rich protein 1	OSER1
OID41576	Q96FW1	Ubiquitin thioesterase OTUB1	OTUB1
OID41577	Q01804	OTU domain-containing protein 4	OTUD4
OID41578	Q12889	Oviduct-specific glycoprotein	OVGP1
OID41579	Q92791	Endoplasmic reticulum protein SC65	P3H4
OID41580	P0CB38	Polyadenylate-binding protein 4-like	PABPC4L
OID41581	Q8N7B6	PACRG-like protein	PACRGL
OID41582	Q9UKS6	Protein kinase C and casein kinase substrate in neurons protein 3	PACSIN3
OID41583	Q5JUK9	P antigen family member 3	PAGE3
OID41584	Q8TEW8	Partitioning defective 3 homolog B	PARD3B
OID41585	Q9BYG5	Partitioning defective 6 homolog beta	PARD6B
OID41586	O95453	Poly(A)-specific ribonuclease PARN	PARN
OID41587	Q53GL7	Protein mono-ADP-ribosyltransferase PARP10	PARP10
OID41588	Q8N3A8	Protein mono-ADP-ribosyltransferase PARP8	PARP8
OID41589	Q9NWS1	PCNA-interacting partner	PARPBP
OID41590	Q8NI35	InaD-like protein	PATJ
OID41591	Q96KB5	Lymphokine-activated killer T-cell-originated protein kinase	PBK
OID41592	P40424	Pre-B-cell leukemia transcription factor 1	PBX1
OID41593	Q9P2E7	Protocadherin-10	PCDH10
OID41594	Q9Y5I3	Protocadherin alpha-1	PCDHA1
OID41595	P12004	Proliferating cell nuclear antigen	PCNA
OID41596	P49585	Choline-phosphate cytidylyltransferase A	PCYT1A
OID41597	P20941	Phosducin	PDC
OID41598	Q16342	Programmed cell death protein 2	PDCD2
OID41599	Q13371	Phosducin-like protein	PDCL
OID41600	P54750	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A	PDE1A
OID41601	O00408	cGMP-dependent 3',5'-cyclic phosphodiesterase	PDE2A
OID41602	Q5VU43	Myomegalin	PDE4DIP
OID41603	P35913	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta	PDE6B
OID41604	Q6P474	Putative pyridoxal-dependent decarboxylase domain-containing protein 2	PDXDC2P
OID41605	Q76G19	PDZ domain-containing protein 4	PDZD4
OID41606	Q6ZMN7	PDZ domain-containing RING finger protein 4	PDZRN4
OID41607	Q9H792	Inactive tyrosine-protein kinase PEAK1	PEAK1
OID41608	O95394	Phosphoacetylglucosamine mutase	PGM3
OID41609	Q9C0D0	Phosphatase and actin regulator 1	PHACTR1
OID41610	Q8IXK0	Polyhomeotic-like protein 2	PHC2
OID41611	Q96QT6	PHD finger protein 12	PHF12
OID41612	A8MW92	PHD finger protein 20-like protein 1	PHF20L1
OID41613	Q96EK2	PHD finger protein 21B	PHF21B
OID41614	Q9UPV7	PHD finger protein 24	PHF24
OID41615	Q9Y5J5	Pleckstrin homology-like domain family A member 3	PHLDA3
OID41616	O14813	Paired mesoderm homeobox protein 2A	PHOX2A
OID41617	Q7Z3Z4	Piwi-like protein 4	PIWIL4
OID41618	Q8NG27	E3 ubiquitin-protein ligase Praja-1	PJA1
OID41619	P51178	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	PLCD1
OID41620	Q9BRC7	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	PLCD4
OID41621	P19174	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	PLCG1
OID41622	Q4KWH8	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	PLCH1
OID41623	Q15111	Inactive phospholipase C-like protein 1	PLCL1
OID41624	Q9H4M7	Pleckstrin homology domain-containing family A member 4	PLEKHA4
OID41625	A6NEE1	Pleckstrin homology domain-containing family D member 1	PLEKHD1
OID41626	Q96S99	Pleckstrin homology domain-containing family F member 1	PLEKHF1
OID41627	Q9H7P9	Pleckstrin homology domain-containing family G member 2	PLEKHG2
OID41628	O94827	Pleckstrin homology domain-containing family G member 5	PLEKHG5
OID41629	Q9ULM0	Pleckstrin homology domain-containing family H member 1	PLEKHH1
OID41630	Q8IVE3	Pleckstrin homology domain-containing family H member 2	PLEKHH2
OID41631	Q9NYY3	Serine/threonine-protein kinase PLK2	PLK2
OID41632	O60568	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	PLOD3
OID41633	O43660	Pleiotropic regulator 1	PLRG1
OID41634	P13797	Plastin-3	PLS3
OID41635	O75051	Plexin-A2	PLXNA2
OID41636	Q86V59	Paraneoplastic antigen-like protein 8A	PNMA8A
OID41637	Q8TC44	POC1 centriolar protein homolog B	POC1B
OID41638	Q8NBL1	Protein O-glucosyltransferase 1	POGLUT1
OID41639	P06746	DNA polymerase beta	POLB
OID41640	Q15054	DNA polymerase delta subunit 3	POLD3
OID41641	Q9HCU8	DNA polymerase delta subunit 4	POLD4
OID41642	Q9BY77	Polymerase delta-interacting protein 3	POLDIP3
OID41643	P05423	DNA-directed RNA polymerase III subunit RPC4	POLR3D
OID41644	Q6S8J7	POTE ankyrin domain family member A	POTEA
OID41645	B2RU33	POTE ankyrin domain family member C	POTEC
OID41646	Q9BYX7	Putative beta-actin-like protein 3	POTEKP
OID41647	A6NI47	Putative POTE ankyrin domain family member M	POTEM
OID41648	Q9UKI9	POU domain, class 2, transcription factor 3	POU2F3
OID41649	Q9H2U2	Inorganic pyrophosphatase 2, mitochondrial	PPA2
OID41650	Q13136	Liprin-alpha-1	PPFIA1
OID41651	O75335	Liprin-alpha-4	PPFIA4
OID41652	Q86W92	Liprin-beta-1	PPFIBP1
OID41653	Q8ND30	Liprin-beta-2	PPFIBP2
OID41654	Q96KQ4	Apoptosis-stimulating of p53 protein 1	PPP1R13B
OID41655	Q13522	Protein phosphatase 1 regulatory subunit 1A	PPP1R1A
OID41656	Q8WVI7	Protein phosphatase 1 regulatory subunit 1C	PPP1R1C
OID41657	Q96PQ5	Putative protein phosphatase inhibitor 2-like protein 1	PPP1R2P1
OID41658	Q8TAP8	Protein phosphatase 1 regulatory subunit 35	PPP1R35
OID41659	Q86XI6	Protein phosphatase 1 regulatory subunit 3B	PPP1R3B
OID41660	Q15435	Protein phosphatase 1 regulatory subunit 7	PPP1R7
OID41661	Q6NUP7	Serine/threonine-protein phosphatase 4 regulatory subunit 4	PPP4R4
OID41662	O75170	Serine/threonine-protein phosphatase 6 regulatory subunit 2	PPP6R2
OID41663	Q9NQV5	PR domain-containing protein 11	PRDM11
OID41664	Q13029	PR domain zinc finger protein 2	PRDM2
OID41665	P49642	DNA primase small subunit	PRIM1
OID41666	P41743	Protein kinase C iota type	PRKCI
OID41667	O60260	E3 ubiquitin-protein ligase parkin	PRKN
OID41668	O60678	Protein arginine N-methyltransferase 3	PRMT3
OID41669	Q5THK1	Protein PRR14L	PRR14L
OID41670	Q9BU68	Proline-rich protein 15-like protein	PRR15L
OID41672	B1ATL7	Proline-rich protein 32	PRR32
OID41673	P0CG20	Proline-rich protein 35	PRR35
OID41674	O14668	Transmembrane gamma-carboxyglutamic acid protein 1	PRRG1
OID41675	Q06124	Tyrosine-protein phosphatase non-receptor type 11	PTPN11
OID41676	Q15678	Tyrosine-protein phosphatase non-receptor type 14	PTPN14
OID41677	P17706	Tyrosine-protein phosphatase non-receptor type 2	PTPN2
OID41678	Q4JDL3	Tyrosine-protein phosphatase non-receptor type 20	PTPN20
OID41679	P18433	Receptor-type tyrosine-protein phosphatase alpha	PTPRA
OID41680	Q5TGL8	PX domain-containing protein 1	PXDC1
OID41681	Q96C36	Pyrroline-5-carboxylate reductase 2	PYCR2
OID41682	Q9H0J4	Glutamine-rich protein 2	QRICH2
OID41683	Q2KHR3	Glutamine and serine-rich protein 1	QSER1
OID41684	Q6ZRP7	Sulfhydryl oxidase 2	QSOX2
OID41685	Q9Y3T6	R3H and coiled-coil domain-containing protein 1	R3HCC1
OID41686	Q7Z5L2	Coiled-coil domain-containing protein R3HCC1L	R3HCC1L
OID41687	P62491	Ras-related protein Rab-11A	RAB11A
OID41688	Q9BXF6	Rab11 family-interacting protein 5	RAB11FIP5
OID41689	Q14964	Ras-related protein Rab-39A	RAB39A
OID41690	Q96E17	Ras-related protein Rab-3C	RAB3C
OID41691	Q9UNT1	Rab-like protein 2B	RABL2B
OID41692	Q96B01	RAD51-associated protein 1	RAD51AP1
OID41693	Q09MP3	RAD51-associated protein 2	RAD51AP2
OID41694	Q96JH8	Ras-associating and dilute domain-containing protein	RADIL
OID41696	Q86X27	Ras-specific guanine nucleotide-releasing factor RalGPS2	RALGPS2
OID41697	Q9HD47	Ran guanine nucleotide release factor	RANGRF
OID41698	Q8TEU7	Rap guanine nucleotide exchange factor 6	RAPGEF6
OID41701	A6NK89	Ras association domain-containing protein 10	RASSF10
OID41702	Q8WWW0	Ras association domain-containing protein 5	RASSF5
OID41703	Q02833	Ras association domain-containing protein 7	RASSF7
OID41704	Q9Y2V3	Retinal homeobox protein Rx	RAX
OID41705	Q15291	Retinoblastoma-binding protein 5	RBBP5
OID41706	Q5T481	RNA-binding protein 20	RBM20
OID41707	Q9NW64	Pre-mRNA-splicing factor RBM22	RBM22
OID41708	Q9P2N5	RNA-binding protein 27	RBM27
OID41709	Q96EV2	RNA-binding protein 33	RBM33
OID41710	Q6XE24	RNA-binding motif, single-stranded-interacting protein 3	RBMS3
OID41711	Q6JBY9	CapZ-interacting protein	RCSD1
OID41712	Q8IYK8	GTP-binding protein REM 2	REM2
OID41713	Q8NFH8	RalBP1-associated Eps domain-containing protein 2	REPS2
OID41714	P35251	Replication factor C subunit 1	RFC1
OID41715	Q14699	Raftlin	RFTN1
OID41716	P48382	DNA-binding protein RFX5	RFX5
OID41717	P49796	Regulator of G-protein signaling 3	RGS3
OID41718	P49798	Regulator of G-protein signaling 4	RGS4
OID41719	P49758	Regulator of G-protein signaling 6	RGS6
OID41720	Q6ZWK4	Regulator of hemoglobinization and erythroid cell expansion protein	RHEX
OID41721	O94844	Rho-related BTB domain-containing protein 1	RHOBTB1
OID41722	Q8N443	RIB43A-like with coiled-coils protein 1	RIBC1
OID41724	Q6NUQ1	RAD50-interacting protein 1	RINT1
OID41725	Q9BVS4	Serine/threonine-protein kinase RIO2	RIOK2
OID41726	Q9Y4F9	Rho family-interacting cell polarization regulator 2	RIPOR2
OID41727	Q96K30	RBPJ-interacting and tubulin-associated protein 1	RITA1
OID41728	P12271	Retinaldehyde-binding protein 1	RLBP1
OID41729	Q8WXF3	Relaxin-3	RLN3
OID41730	P60153	Inactive ribonuclease-like protein 9	RNASE9
OID41731	P61587	Rho-related GTP-binding protein RhoE	RND3
OID41732	Q8N5U6	RING finger protein 10	RNF10
OID41733	Q8WVD5	RING finger protein 141	RNF141
OID41734	Q63HN8	E3 ubiquitin-protein ligase RNF213	RNF213
OID41735	Q8ND24	RING finger protein 214	RNF214
OID41736	A6NIN4	RING finger protein 227	RNF227
OID41737	Q96LT9	RNA-binding region-containing protein 3	RNPC3
OID41738	Q96MS0	Roundabout homolog 3	ROBO3
